goos: darwin
goarch: arm64
pkg: github.com/jub0bs/errutil
cpu: Apple M4
BenchmarkAll/impl=errors.As/c=wrapper_that_wraps_nil_error-10  	   10000	        63.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_wraps_nil_error-10  	   10000	        65.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_wraps_nil_error-10  	   10000	        66.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_wraps_nil_error-10  	   10000	        66.22 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_wraps_nil_error-10  	   10000	        67.06 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_wraps_nil_error-10 	   10000	        26.47 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_wraps_nil_error-10 	   10000	        26.30 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_wraps_nil_error-10 	   10000	        25.84 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_wraps_nil_error-10 	   10000	        26.46 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_wraps_nil_error-10 	   10000	        27.37 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_wraps_nil_error-10 	   10000	        26.25 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_wraps_nil_error-10 	   10000	        27.38 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_wraps_nil_error-10 	   10000	        25.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_wraps_nil_error-10 	   10000	        26.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_wraps_nil_error-10 	   10000	        27.47 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_wraps_nil_error-10         	   10000	         8.463 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_wraps_nil_error-10         	   10000	         8.425 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_wraps_nil_error-10         	   10000	         8.450 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_wraps_nil_error-10         	   10000	         8.767 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_wraps_nil_error-10         	   10000	         8.396 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_wraps_nil_error-10         	   10000	         8.500 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_wraps_nil_error-10         	   10000	         8.400 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_wraps_nil_error-10         	   10000	         8.346 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_wraps_nil_error-10         	   10000	         8.467 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_wraps_nil_error-10         	   10000	         8.492 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_contains_match-10             	   10000	        87.24 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_contains_match-10             	   10000	        87.64 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_contains_match-10             	   10000	        87.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_contains_match-10             	   10000	        87.56 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_contains_match-10             	   10000	        87.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_contains_match-10             	   10000	        89.46 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_contains_match-10             	   10000	        92.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_contains_match-10             	   10000	        88.75 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_contains_match-10             	   10000	        87.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=wrapper_that_contains_match-10             	   10000	        87.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_contains_match-10            	   10000	        25.81 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_contains_match-10            	   10000	        25.84 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_contains_match-10            	   10000	        26.17 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_contains_match-10            	   10000	        27.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_contains_match-10            	   10000	        27.34 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_contains_match-10            	   10000	        27.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_contains_match-10            	   10000	        27.09 ns/op	      16 B/op	       1 allocs/op
